flow_duration,ip_proto,srcport,dstport,byte_count,packet_count,type
90198431,0,0,0,0,3,0
101673724,0,0,0,0,5,0
61352598,0,0,0,0,3,0
61148181,0,0,0,0,2,0
119876666,0,0,0,0,5,0
139758,6,53183,443,1,2,0
502430,0,0,0,0,6,0
497647,0,0,0,0,4,0
71867255,0,0,0,0,6,0
90248336,0,0,0,0,3,0
90040664,0,0,0,0,3,0
11029211,6,53622,443,0,4,0
12368,6,53622,443,0,2,0
237285,0,0,0,0,4,0
573313,0,0,0,0,6,0
110458459,0,0,0,0,6,0
435519,17,50497,53,346,4,0
93722823,0,0,0,0,6,0
117260719,0,0,0,0,40,0
80464426,0,0,0,0,3,0
87635947,0,0,0,0,10,0
90735477,0,0,0,0,5,0
90719831,0,0,0,0,4,0
90216054,0,0,0,0,3,0
90008300,0,0,0,0,3,0
110402582,0,0,0,0,6,0
92124827,0,0,0,0,6,0
713960,0,0,0,0,4,0
91694767,0,0,0,0,4,0
80466064,0,0,0,0,3,0
44521,17,49665,53,183,2,0
487114,0,0,0,0,4,0
90394995,0,0,0,0,6,0
101358200,0,0,0,0,5,0
65956045,6,53626,443,0,4,0
118,0,0,0,0,2,0
620417,0,0,0,0,5,0
325,0,0,0,0,2,0
115149843,0,0,0,0,5,0
504257,6,53610,443,0,3,0
650376,0,0,0,0,3,0
4078177,0,0,0,0,4,0
190641,0,0,0,0,2,0
606181,0,0,0,0,6,0
658644,0,0,0,0,5,0
89974908,0,0,0,0,3,0
90358474,0,0,0,0,3,0
718794,0,0,0,0,4,0
60160734,6,53183,443,53,5,0
67316116,17,50497,53,745,6,0
67358904,17,63834,53,961,6,0
117239138,0,0,0,0,40,0
80243212,0,0,0,0,3,0
110381273,0,0,0,0,5,0
90978707,0,0,0,0,4,0
90887136,0,0,0,0,4,0
67770,17,50549,53,168,2,0
92118422,0,0,0,0,4,0
92234621,0,0,0,0,4,0
90011969,0,0,0,0,3,0
114824220,0,0,0,0,6,0
110382535,0,0,0,0,5,0
567029,0,0,0,0,7,0
69033537,0,0,0,0,2,0
80234282,0,0,0,0,3,0
90207858,0,0,0,0,4,0
627912,0,0,0,0,5,0
920129,0,0,0,0,5,0
1521848,0,0,0,0,4,0
271520,0,0,0,0,7,0
119532671,0,0,0,0,2,0
244895,0,0,0,0,4,0
455343,0,0,0,0,4,0
116979602,0,0,0,0,38,0
101678689,0,0,0,0,5,0
576189,0,0,0,0,10,0
61002062,6,53676,443,9655,25,0
102069913,0,0,0,0,3,0
136415,6,53183,443,1,2,0
89899548,0,0,0,0,3,0
171573,0,0,0,0,8,0
102,0,0,0,0,2,0
117169146,0,0,0,0,40,0
80297007,0,0,0,0,3,0
90507359,0,0,0,0,4,0
90505621,0,0,0,0,4,0
110477475,0,0,0,0,5,0
116845107,6,53678,443,6219,18,0
116844674,6,53682,443,6214,18,0
551618,6,53674,443,7710,19,0
119910411,0,0,0,0,6,0
100741,6,53674,443,0,2,0
119911029,0,0,0,0,5,0
92121247,0,0,0,0,4,0
92166459,0,0,0,0,4,0
89621289,17,51947,53,1206,18,0
98933569,17,56085,53,1406,18,0
115786007,6,53684,443,6820,18,0
87349456,0,0,0,0,4,0
14294,6,443,53684,24,3,0
80309675,0,0,0,0,3,0
90024854,0,0,0,0,3,0
90419117,0,0,0,0,3,0
98948338,17,52029,53,1332,18,0
110393136,0,0,0,0,5,0
90316517,0,0,0,0,4,0
98501024,0,0,0,0,908,0
101761236,0,0,0,0,5,0
80289554,6,53686,443,10891,26,0
250613,6,53686,443,0,2,0
65555319,6,53702,443,0,4,0
1270618,0,0,0,0,2,0
77116,17,52599,53,226,2,0
86372,17,50444,53,269,2,0
86418,17,55694,53,250,2,0
86106,17,60852,53,320,2,0
117208556,0,0,0,0,40,0
80387987,0,0,0,0,3,0
90853089,0,0,0,0,5,0
90836676,0,0,0,0,4,0
90090272,0,0,0,0,3,0
8537,17,60694,53,94,2,0
107016715,0,0,0,0,3,0
92118499,0,0,0,0,4,0
92047056,0,0,0,0,4,0
116467799,0,0,0,0,5,0
110397400,0,0,0,0,5,0
80382876,0,0,0,0,3,0
99435584,0,0,0,0,8,0
90763532,0,0,0,0,4,0
60109385,6,53183,443,53,5,0
89985772,0,0,0,0,3,0
94,0,0,0,0,2,0
49863065,0,0,0,0,2,0
110407607,0,0,0,0,5,0
818694,0,0,0,0,2,0
115438262,17,5353,5353,572,8,0
102095760,0,0,0,0,5,0
347872,0,0,0,0,4,0
90294677,0,0,0,0,3,0
59011769,0,0,0,0,2,0
118191537,0,0,0,0,496,0
117313322,0,0,0,0,40,0
80246446,0,0,0,0,3,0
90630465,0,0,0,0,4,0
90869068,0,0,0,0,4,0
89974338,0,0,0,0,3,0
92123481,0,0,0,0,4,0
92235022,0,0,0,0,4,0
116170554,6,53755,443,7370,18,0
77090,6,443,53755,24,4,0
